NAME,AGE,GENDER,DEPARTMENT,ROLL NO,SUB 1,SUB 2,SUB 3,SUB 4,SUB 5,ATTENDANCE PERSENTAGE,SPORTS ACTIVITIES
Emily,23,female,Statistics,1245,85,25,64,90,23,89,yes 
Jesus,23,male,Botany,1246,23,78,66,50,88,93,no
Lauren,21,female,Statistics,1247,93,77,92,77,87,90,yes 
Pamela,23,female,Chemistry,1248,97,98,85,96,25,80,yes 
David,22,male,Computer Science,1249,54,96,79,57,53,92,yes 
Kenneth,21,male,Computer Science,1250,88,99,50,58,84,91,yes 
Elizabeth,23,female,Chemistry,1251,71,78,93,68,24,93,yes 
Billy,22,male,Botany,1252,81,67,74,23,97,94,no
Kimberly,22,female,Computer Science,1253,23,78,86,80,64,83,yes 
Sonia,21,female,Computer Science,1254,98,97,22,93,94,96,yes 
madhu,22,female,Statistics,1255,87,78,90,92,56,89,no
